,region,Long10,Lat10,Altitude,TempAnn,TempDayRng,Isotherm,TempSeas,TempMax,TempMin,TempAnnRng,PrecAnn,PrecWetP,PrecDryP,PrecSeas,WaterDefDur,WaterDefSev,WaterExcDur,WaterExcSev,HyperSeas,DaysFrost,Cloudiness,PotentialET,AridityIndex,GrassCover,IflamIndex,Rockiness,Sandiness,SoilDrain,SoilWaterStorage,SoilFert,Salinity
AtlAR001,south,-53.99,-26.52,632,18.2,13.3,59,350,29.4,6.7,22.7,1858,185,123,12,0,0,360,658,0,5,0,1506,123,0,0,5,15,50,70,67,0
AtlMG191,north,-46.1,-22.75,1346,15.9,11.3,63,234,23.3,5.4,17.9,1697,296,32,68,0,0,200,757,0,9,143,1293,132,0,0,20,25,35,56,17,0
AtlMG192,north,-44.77,-22.13,1636,15.2,12.8,66,212,23.1,3.8,19.3,1836,328,23,78,10,1,200,939,51,71,188,1327,138,0,0,5,25,35,60,17,0
AtlMG193,north,-44.71,-22.15,1763,14.2,12.6,67,203,22,3.1,18.9,1945,343,25,76,0,0,200,1020,0,92,214,1303,149,0,0,20,25,35,56,17,0
AtlMG194,north,-44.71,-22.27,1764,13.7,12.6,67,200,21.4,2.5,18.9,2006,351,28,75,0,0,205,1067,0,107,221,1289,142,0,0,20,25,35,56,17,0
AtlMG195,north,-45.06,-22.41,1640,14.8,12.5,64,224,22.7,3.3,19.4,1860,340,25,77,0,0,200,960,0,81,191,1278,146,0,0,20,25,35,56,17,0
AtlMG196,north,-45.37,-22.45,1598,15.2,12.4,64,239,23.1,3.6,19.5,1818,334,27,77,0,0,200,921,0,76,182,1324,132,0,0,20,25,35,56,17,0
AtlMG197,north,-45.82,-22.58,1454,15.7,11.7,64,236,23.3,4.9,18.4,1720,305,29,72,0,0,200,801,0,19,156,1257,132,0,0,20,25,35,56,17,0
AtlMG198,north,-46.08,-22.87,1420,14.6,11,62,239,22,4.3,17.7,1812,308,36,67,0,0,200,837,0,57,161,1233,147,0,0,20,25,35,56,17,0
AtlPR036,south,-49.03,-25.3,895,17.5,9.7,55,292,26,8.3,17.7,1634,217,79,33,0,0,255,471,0,2,0,1256,130,0,0,20,45,50,59,37,0
AtlPR037,south,-49.86,-24.52,1067,16.6,11.8,57,298,26.1,5.3,20.8,1497,204,71,31,0,0,285,350,0,8,100,1360,110,0,0,5,35,50,65,37,0
AtlPR038,south,-49.43,-24.53,991,17.1,11.4,56,315,26.3,5.9,20.4,1447,206,64,36,0,0,210,343,0,6,0,1371,106,0,0,5,35,50,65,37,0
AtlPR039,south,-49.88,-24.8,1019,17,11.5,59,269,26.2,6.6,19.6,1558,197,80,27,0,0,305,392,0,5,99,1346,116,0,0,5,35,50,65,37,0
AtlPR040,south,-49.33,-25.18,939,17.2,10.5,57,282,26,7.6,18.4,1612,213,78,31,0,0,295,447,0,4,0,1308,123,0,0,5,35,50,65,37,0
AtlPR041,south,-49.13,-25.18,1034,16.9,10.2,56,284,25.5,7.4,18.1,1620,214,80,31,0,0,295,451,0,4,105,1259,129,0,0,5,35,50,65,37,0
AtlPR042,south,-49.26,-25.26,1077,16.5,10.4,58,272,25.1,7.1,18,1618,215,83,30,0,0,300,445,0,5,109,1252,129,0,0,20,35,50,61,37,0
AtlPR043,south,-49.31,-25.42,926,17.1,10.4,58,269,25.8,7.8,18,1408,188,78,28,0,0,225,274,0,3,0,1287,109,0,0,5,35,50,65,37,0
AtlPR044,south,-49.05,-25.47,941,16.9,9.7,55,283,25.4,7.9,17.5,1557,208,80,32,0,0,235,405,0,3,0,1231,126,0,0,20,15,50,66,37,0
AtlPR045,south,-49.37,-25.58,933,16.9,10.5,57,283,25.8,7.5,18.3,1313,185,68,29,0,0,215,206,0,4,0,1284,101,0,0,5,35,50,65,37,0
AtlPR046,south,-49.21,-25.6,909,16.9,10.2,57,283,25.6,7.6,18,1290,177,69,31,0,0,190,201,0,4,0,1259,102,0,0,5,35,50,65,37,0
